,filament_ID,ydir,zdir,normal_angle,length,x_coords,y_coords,z_coords
0,1,-78.90510926076323,10.277740963492777,51.52992078328268,78.46655338422862,[706 710 716 722],[1570 1539 1506 1493],[175 169 158 161]
1,2,-13.040750130112869,1.763248550432101,108.3206539001247,194.99743588057768,[722 759 803 840 880 912],[1532 1524 1514 1507 1494 1488],[161 161 161 166 166 155]
2,3,-85.60129464500442,-0.0,26.547662082385845,26.076809620810597,[890 892],[1485 1459],[166 166]
3,4,-9.080025839254573,38.4602951816455,49.95801490958703,107.72186407596185,[607 655 673 702 714],[1624 1615 1614 1610 1607],[237 207 195 177 170]
4,5,-39.98266954250763,6.416138786612726,38.35480885060668,71.58910531638176,[780 797 814 821 835],[1511 1495 1483 1477 1465],[143 139 136 134 135]
5,6,24.662877996815446,-5.987966693067767,78.97994792521236,95.85927185202274,[727 758 780 814],[1493 1506 1515 1533],[141 140 146 151]
6,7,-55.56101960977188,0.9265793579112426,41.50503035072956,61.83849933496123,[844 856 867 879],[1564 1545 1529 1513],[133 133 132 132]
7,8,12.446839081254861,-4.554489275530498,77.58154275845448,88.15327560561774,[790 818 844 860 876],[1552 1562 1567 1571 1571],[128 128 133 134 135]
8,9,-52.13315903067753,9.244147677831617,33.52907167954361,217.87611158637839,[676 699 731 774 787 810],[1689 1660 1618 1562 1549 1517],[157 150 140 133 128 122]
9,10,76.47815645025669,5.341439093387607,14.721520085499998,96.6798841538404,[851 847 842 839 832 828],[1625 1647 1668 1685 1709 1719],[139 137 135 134 131 130]
10,11,-32.27564431457763,-0.0,119.48306988766052,44.94441010848846,[579 541],[1654 1630],[102 102]
11,12,26.38112359433554,23.899498361898623,165.34076373797143,76.51797174520506,[626 598 579 557],[1641 1654 1663 1675],[119 105  98  88]
12,13,59.71136587657305,11.550459879012653,146.44135862816253,159.8155186457185,[656 642 619 598 580 575],[1474 1503 1540 1576 1603 1612],[186 182 176 167 161 154]
13,14,46.79828082503595,-21.375218034383728,101.22202797119814,32.92415526630866,[654 676],[1500 1524],[189 201]
14,15,57.85103873805518,-17.237524882626886,92.90347576784406,23.62202362203543,[586 598],[1601 1621],[169 176]
15,16,15.317401725045483,28.39183071853693,138.5373433678578,37.8549864614954,[615 578],[1784 1794],[164 146]
16,17,-24.444303187077846,-10.430413211882318,116.3611468163392,38.66522985836241,[548 513],[1795 1779],[139 146]
17,18,-2.6298339607020207,13.262676008304844,155.3962188019874,21.79449471770337,[534 556],[1694 1693],[193 188]
18,19,-62.596606137154055,9.080906007809935,145.70537424925277,101.3755394560246,[494 519 528 541],[1748 1708 1689 1658],[201 194 191 185]
19,20,-60.17286479379714,-16.057610901925557,125.68001686405792,79.5361553005927,[800 783 768 761],[1787 1759 1731 1718],[182 192 202 204]
20,21,10.598183984868017,-21.582490168997357,57.339960054192304,21.748563170931547,[781 760],[1770 1774],[190 198]
21,22,82.6269507098695,-3.2384223060285224,7.902632919061306,159.3172934743746,[837 840 843 848 851 857],[1521 1557 1587 1618 1642 1679],[153 154 155 158 159 162]
22,23,11.379433104370868,-56.98712499168181,81.08338634038635,20.273134932713294,[849 868],[1575 1579],[159 176]
23,24,-47.10190703965553,-14.915125518319831,22.826468603350335,50.50742519669756,[946 912],[1582 1545],[175 188]
24,25,-67.63028900079358,12.009165157080115,112.83235582000789,43.255057507764334,[936 953],[1562 1522],[178 169]
25,26,-39.36713356770601,-7.144377213282398,93.11058489416011,80.40522371090077,[732 794],[1459 1408],[146 156]
26,27,-80.59521865187149,-4.1908202460843365,101.73644555692672,27.367864366808018,[762 758],[1423 1396],[152 154]
27,28,-79.01407395933916,-13.698182686288975,17.02468895072665,232.25632391820895,[934 916 905 902 895 891],[1771 1681 1624 1604 1572 1543],[109 129 142 146 156 164]
28,29,-14.278289262997909,20.19916589942006,103.27691443124169,20.273134932713294,[891 871],[1581 1576],[147 140]
29,30,-50.10817017322396,-0.32806571571411475,102.7362410666,174.64821785520743,[694 678 650 613 582],[1775 1747 1721 1680 1641],[128 128 133 129 129]
30,31,20.4549380240826,0.9101832992743809,150.5731862091238,62.95236294214857,[645 616 586],[1728 1740 1750],[132 131 131]
31,32,-28.658283516911073,34.44841608995591,128.75913403744363,81.32035415564789,[901 949 973],[1514 1489 1475],[134 106  88]
32,33,23.84026443060526,-16.3791148839902,155.27739298434363,106.38608931622592,[ 949 1017 1033 1046],[1497 1529 1537 1540],[111 129 132 141]
33,34,-32.81581500370297,32.81581500370297,124.33774128224171,31.368774282716245,[ 998 1025],[1513 1496],[120 103]
34,35,41.509247564510964,19.92794924011163,102.12975867957165,52.81098370604357,[759 799],[1476 1511],[139 121]
35,36,-20.53903916120245,37.301259424444865,69.0639940238245,31.352830813181765,[784 814],[1489 1478],[126 107]
